index,galaxyID,redshift,lum_disk_g_abs,lum_disk_r_abs,lum_disk_i_abs,lum_disk_z_abs,lum_bulge_g_abs,lum_bulge_r_abs,lum_bulge_i_abs,lum_bulge_z_abs,lum_disk_g,lum_disk_r,lum_disk_i,lum_disk_z,lum_bulge_g,lum_bulge_r,lum_bulge_i,lum_bulge_z,mag_g,mag_r,mag_i,mag_z,lum_g_abs,lum_r_abs,lum_i_abs,lum_z_abs,mag_g_,mag_r_,mag_i_,mag_z_,mag_bulge_g,mag_bulge_r,mag_bulge_i,mag_bulge_z,mag_disk_g,mag_disk_r,mag_disk_i,mag_disk_z,adu_bulge_g,adu_bulge_r,adu_bulge_i,adu_bulge_z,adu_disk_g,adu_disk_r,adu_disk_i,adu_disk_z,hlr_disk,hlr_bulge,sersic_disk,sersic_bulge,axisratio_disk,axisratio_bulge,beta,lum_bulge,lum_disk,bt_flux_ratio,bd_flux_ratio,sed_bulge_orig_g,sed_bulge_orig_r,sed_bulge_orig_i,sed_bulge_orig_z,sed_disk_orig_g,sed_disk_orig_r,sed_disk_orig_i,sed_disk_orig_z,histID,angledist
4540,1500079204,0.2880846875815048,105756664.0,216863730.0,287968640.0,331848640.0,55250180.0,175994270.0,282650340.0,352443550.0,4.880890444158953e-09,1.0008713003967433e-08,1.3290353390439778e-08,1.5315506762627832e-08,2.549911055992275e-09,8.122502307639148e-09,1.30449023948868e-08,1.6266004951146243e-08,20.05366,19.085182,18.679903,18.482666,161006850.0,392858000.0,570619000.0,684292200.0,20.047549816908138,19.07907209092547,18.67379388505389,18.47655734712054,21.208825918974178,19.95091399842669,19.436537834944023,19.19693669969012,20.5038901298659,19.72419223481585,19.41629848176409,19.26231107407977,3284.502769562999,10462.474213917876,16802.924114258698,20951.992025634445,6287.007060171046,12892.083392157056,17119.087325279143,19727.65981741123,1.647739139747242,0.981750594785909,1.0,4.0,0.2990842,0.57115626,0.4209624,3.9983320709664463e-08,4.3495463601194e-08,0.4789638593774257,0.9192525330126132,0.0637744084803813,0.2031473714734091,0.3262583779980066,0.4068198420482029,0.1122162082719144,0.2301096055956752,0.3055570083400464,0.352117177792364,7197,0.13570082714642553
4548,1500079531,0.2865905367422861,36037080.0,65252204.0,77189620.0,84723390.0,48367176.0,150193150.0,235719250.0,293468830.0,1.6833125129237603e-09,3.0479676379749076e-09,3.605571012391911e-09,3.957478075343613e-09,2.2592583584966882e-09,7.0156077809868e-09,1.1010580588035892e-08,1.3708096679376181e-08,20.742247,19.724815,19.319613,19.113874,84404260.0,215445360.0,312908860.0,378192220.0,20.736950139944096,19.7195191192074,19.31431720728113,19.10857866281702,21.341484289114018,20.111236076299686,19.621872405950565,19.383956890050907,21.66098664278223,21.01637313837244,20.833963851873417,20.732852916662235,2906.740651289656,9026.212827943347,14166.123955674197,17636.696602999087,2165.73513839922,3921.4866841343855,4638.8941107292485,5091.653408488151,1.6942339505125157,0.8664312592201969,1.0,4.0,0.93143326,0.95592296,35.559284,3.3993543406895566e-08,1.2294329238634192e-08,0.7343941612356317,2.764977355085442,0.0664613972253092,0.2063805437653904,0.323902440674681,0.4032556183346192,0.136917860641877,0.2479165424282437,0.2932710681578145,0.3218945287720646,7208,0.20780112192053216
4557,1500080180,0.2902741996480638,215528000.0,441180930.0,562037700.0,634841900.0,45554390.0,142037600.0,223482450.0,278438240.0,9.774276066597612e-09,2.0007722137717972e-08,2.5488620924586628e-08,2.8790320205826443e-08,2.0659088348587062e-09,6.441458618805347e-09,1.0135013490141836e-08,1.2627279147257789e-08,19.549843,18.67721,18.353895,18.190279,261082400.0,583218560.0,785520100.0,913280100.0,19.539898671459504,18.667265214275663,18.34395054752762,18.18033341343338,21.435517110180207,20.200835503887483,19.708734788250275,19.470020570110627,19.7480833905452,18.97029999668533,18.707429208111115,18.57517842228348,2665.588805964587,8311.23952202547,13076.938602880458,16292.651646609183,12611.497083252294,25815.46792222572,32887.307327329494,37147.41786162681,1.4815229153036644,0.987789700269989,1.0,4.0,0.9357631,0.9881205,107.97698,3.1269660091063684e-08,8.406093933472867e-08,0.2711306474322423,0.3719877359937183,0.0660675445292794,0.205996958715552,0.3241164659452489,0.4038190308099195,0.1162760515776975,0.2380146195024944,0.3032158845060769,0.3424934444137311,7226,0.1502278915794669
4558,1500080207,0.2811734259940801,20186436.0,38192212.0,46708704.0,52093464.0,48272508.0,144842930.0,224212780.0,277915500.0,9.854284905928683e-10,1.8644051181136344e-09,2.280149368934736e-09,2.5430138129802467e-09,2.356488484095479e-09,7.070705653607288e-09,1.0945254041543372e-08,1.356682468558922e-08,20.914265,19.846504,19.420732,19.206526,68458940.0,183035140.0,270921470.0,330008960.0,20.92099116029988,19.853231169607746,19.42745850267659,19.21325133028279,21.30031631174336,20.10732338609944,19.63291571321736,19.39978525820027,22.246917941000564,21.55462906542073,21.336071946051224,21.21760890665303,3019.0720342912623,9058.799460618382,14022.766896160652,17381.44572821642,1262.5041768305475,2388.627202182924,2921.2667904148648,3258.040190257491,1.4461763738884874,0.7483960085546435,1.0,4.0,0.89797634,0.9693265,26.936314,3.393927286483536e-08,7.672996790621485e-09,0.8156073472042571,4.423209070472862,0.0694325512551073,0.2083340677913895,0.3224952800719314,0.3997381008815717,0.1284280650197674,0.2429827760253879,0.2971654654175794,0.3314236935372651,7227,0.17309417767021643
4560,1500080305,0.288247238206464,116877330.0,252532720.0,347686850.0,407582400.0,61603490.0,200752960.0,326619420.0,409797300.0,5.387097082249874e-09,1.1639709994093368e-08,1.60255429185226e-08,1.878624254894952e-08,2.839421096665765e-09,9.253083583397088e-09,1.5054506308502038e-08,1.888833202788832e-08,19.93505,18.923098,18.491884,18.282969,178480820.0,453285700.0,674306300.0,817379700.0,19.936961465926963,18.92501049623092,18.493797117324668,18.284880453201133,21.09192782029708,19.809285932632285,19.28083592042525,19.034518533798057,20.39661579713424,19.560145670028525,19.212970071884,19.040402704330283,3657.875097413365,11920.25722177214,19393.921429827384,24332.82801236456,6939.907487810185,14994.836407025166,20644.861384650805,24201.31242932016,1.4911156238331884,0.9552854823929456,1.0,4.0,0.8970358,0.951258,179.35649,4.6035343016453206e-08,5.183859254381536e-08,0.4703534475540291,0.8880513145981669,0.0616791567367321,0.2009995951047533,0.3270206575550034,0.410300590603511,0.1039205169068083,0.2245377410416721,0.3091431219120307,0.3623986201394888,7230,0.11690752421432764
4561,1500080306,0.2779355721677023,69435490.0,123024380.0,145038640.0,158362260.0,46611788.0,122294310.0,173390620.0,206214940.0,3.481407684037586e-09,6.168287142825051e-09,7.272054278795251e-09,7.9400833549052e-09,2.337056185212167e-09,6.131682303500021e-09,8.693586702374427e-09,1.0339356625741613e-08,20.327894,19.515156,19.23195,19.085009,116047280.0,245318690.0,318429250.0,364577200.0,20.32170595152252,19.50896800978057,19.22576250059478,19.078820361922904,21.31205500585906,20.26477874739044,19.88572896940581,19.69749273283355,20.879340781997367,20.25831521971099,20.079584731887504,19.98416484815948,2986.606442943277,7835.893072543324,11109.855548556909,13213.044780543569,4449.013127481664,7882.680281749265,9293.21762146112,10146.915897207076,1.2359034701906289,0.6861342074485554,1.0,4.0,0.23753402,0.7149465,20.453976,2.7501681816828237e-08,2.4861832460563088e-08,0.5252069536651107,1.106181269473226,0.0849785876999563,0.2229564354707482,0.316111229284193,0.3759537475451023,0.1400301322797067,0.2481028333572915,0.2924986857869562,0.3193683485760455,7231,0.1534830240827854
4563,1500080467,0.2776375762626388,191001620.0,317765800.0,374033660.0,410137800.0,27591086.0,81595784.0,125120290.0,154543760.0,9.600303689314745e-09,1.5971844293646843e-08,1.8800032466195764e-08,2.0614733375841625e-08,1.386809205180334e-09,4.101244406742791e-09,6.288913922235088e-09,7.767824269845577e-09,19.639326,18.985003,18.74283,18.608908,218592700.0,399361570.0,499153950.0,564681540.0,19.631771388011323,18.97744590278183,18.73527461524521,18.60135251517807,21.878939213710176,20.70169145103012,20.23754054542099,20.0082319402269,19.77826768394028,19.22559434409653,19.048585238414155,18.948537650065767,1771.8392357863993,5239.905076435047,8034.961160971677,9924.467729373591,12265.716609952167,20406.20580424845,24019.60740243424,26338.130184505568,0.969369729085528,0.6352804933018489,1.0,4.0,0.47458562,0.8362229,119.247856,1.95447918040038e-08,6.498691382499897e-08,0.2312125569757578,0.300750035616474,0.0709553860931242,0.2098381615444664,0.3217694697718802,0.3974369825905289,0.1477269280614143,0.2457700754642156,0.2892894828438937,0.3172135136304763,7237,0.21292336913642143
4575,1500080897,0.2855301701563073,102906920.0,157055420.0,178746770.0,193094000.0,86769380.0,199050020.0,282213860.0,337890240.0,4.848217789533236e-09,7.399297402814088e-09,8.421234440771096e-09,9.097170143870856e-09,4.0879353360415315e-09,9.377773752918595e-09,1.3295842309807065e-08,1.5918904866717842e-08,19.856718,19.172806,18.892591,18.739048,189676290.0,356105440.0,460960640.0,530984260.0,19.849417400758835,19.16550416986284,18.88529081384477,18.73174686471757,20.69853444139299,19.797043991487595,19.41800375024614,19.222512436311813,20.513339233797165,20.0543190960103,19.91385479013261,19.830029201906296,5255.163390933654,12055.421609956766,17092.221013926523,20464.2119633672,6232.528978838576,9512.011388822146,10825.752250351605,11694.67936646134,1.6913126413353077,0.9433160579295472,1.0,4.0,0.55284446,0.6836625,100.193596,4.268045626548504e-08,2.976591977698928e-08,0.5891316943232892,1.4338705905873104,0.0957800074540806,0.2197207366864764,0.3115208670666705,0.3729783887927724,0.1628781795885667,0.2485827349535686,0.2829154625996915,0.305623622858173,7256,0.18806760742175924
4577,1500080964,0.3004550330606235,35001024.0,67810904.0,81518560.0,89846730.0,47606530.0,157530600.0,257071000.0,324784350.0,1.465377104291154e-09,2.839018216613417e-09,3.412912527201129e-09,3.7615855221974375e-09,1.9931278623732764e-09,6.595284887033988e-09,1.0762712540119814e-08,1.3597646603954261e-08,20.87491,19.785357,19.343275,19.123306,82607550.0,225341500.0,338589570.0,414631070.0,20.86754041214666,19.777986579138847,19.335906081397148,19.115936331946465,21.46592336197576,20.166678004462334,19.63495688935003,19.38110309143743,21.799888186652275,21.081841759879204,20.881949238974663,20.776334576804253,2591.9740858349937,8576.869421519119,13996.428962163856,17683.114678582795,1905.6569598422084,3692.0136332628367,4438.337302181807,4891.771576714722,0.9063833371796004,0.5492302851261808,1.0,4.0,0.4174396,0.48730716,172.78453,3.2948771893481345e-08,1.1478893370303138e-08,0.7416273553393263,2.870379163121137,0.0604917537940487,0.2001678474355197,0.3266500770212593,0.4126903217491721,0.1276584346262914,0.2473250385422392,0.2973206638339156,0.3276958629975536,7263,0.20927239634801104
4579,1500081003,0.2803010987177701,82723380.0,156317390.0,200695100.0,229615620.0,8622175.0,25045606.0,38234204.0,47242400.0,4.067326036609043e-09,7.685781588479652e-09,9.867736443714262e-09,1.1289693919709425e-08,4.2393333348484575e-10,1.231437282948192e-09,1.8798915759722572e-09,2.3228046544607502e-09,20.60375,19.859097,19.559795,19.399826,91345550.0,181362990.0,238929310.0,276858020.0,20.600798743902256,19.856145995794343,19.55684484833341,19.396875518499424,23.16347541206937,22.00568856590848,21.54638828629117,21.31668748253446,20.708447116552403,20.01750053757291,19.74617542618375,19.60001530045133,542.762501230976,1576.6110774363965,2406.825950816175,2973.890728889948,5207.402573490728,9840.106185547756,12633.678752790063,14454.194014104183,1.1111842567064998,0.5971458910061094,1.0,4.0,0.6045148,0.95614725,100.95795,5.858066846866045e-09,3.291053798851238e-08,0.1511033701558495,0.1779998183654151,0.0723674625948677,0.2102122805357155,0.3209062648451554,0.3965139920242613,0.1235874076584727,0.2335354713589467,0.2998353947504786,0.343041726232102,7266,0.13815426366627293
4580,1500081043,0.2901626983969281,135283620.0,218787490.0,248971060.0,268202510.0,16305197.0,54269460.0,88536376.0,111661280.0,6.140622718084659e-09,9.930924707768864e-09,1.1300978966095651e-08,1.2173908915893798e-08,7.401048405663455e-10,2.463330611021633e-09,4.018730819078417e-09,5.068387446827275e-09,20.137392,19.498426,19.268353,19.13999,151588820.0,273056960.0,337507420.0,379863800.0,20.12930348885032,19.49033692848655,19.26026299965354,19.13190082085105,22.550155673145973,21.24458149445029,20.71316674721213,20.461213145374977,20.25285676491233,19.73091557991477,19.59059909355613,19.50981334221336,954.855668746163,3178.098857754678,5184.815432490939,6539.051260216928,7922.409631656978,12812.496744004586,14580.095296764564,15706.328014486997,0.6318446333726563,0.4168596887408016,1.0,4.0,0.45952237,0.6838937,127.12361,1.2290553717493673e-08,3.954643530784297e-08,0.2371000698263232,0.3107880824845682,0.0602173446711668,0.2004247139965719,0.3269769748182652,0.412380966513996,0.1552764241988985,0.251120400480095,0.2857647063734665,0.3078384689475398,7267,0.27231809725905765
4581,1500081114,0.2892175909605534,88578790.0,187357070.0,249051540.0,288497500.0,13493736.0,40485310.0,62556136.0,77287380.0,4.0511350397352836e-09,8.568741917933712e-09,1.1390326964341972e-08,1.3194380493809312e-08,6.17133537538694e-10,1.8515883522121679e-09,2.8609933848221034e-09,3.534724117469859e-09,20.557697,19.685884,19.345951,19.171907,102072530.0,227842380.0,311607680.0,365784900.0,20.5512940056464,19.67948070837467,19.33954588247745,19.165502703919103,22.748236573471715,21.5553235180518,21.082892335190465,20.85329524351566,20.705243266358067,19.89189258886784,19.582844889893224,19.423211730255773,795.619411729206,2387.0998900619666,3688.4429110227984,4557.030156756114,5222.791557988295,11046.964654406213,14684.597394843937,17010.430618312883,1.0135923233417563,0.5866013594324669,1.0,4.0,0.5485361,0.89709145,137.98885,8.864439392042824e-09,3.720458441582028e-08,0.1924164798675381,0.2382621449067662,0.0696190076260622,0.2088781683810391,0.3227494595596795,0.398753364433219,0.1088880444750559,0.2303140696403129,0.3061537257374193,0.3546441601472118,7268,0.11001378249549072
4586,1500081251,0.2946448337572036,74278860.0,118540260.0,131243460.0,139258290.0,27558212.0,88015256.0,140766930.0,176854460.0,3.253943925631069e-09,5.192908444973202e-09,5.749399233155726e-09,6.100505823175198e-09,1.207246221013257e-09,3.855695819842343e-09,6.1665949555025955e-09,7.747486583915191e-09,20.600431,19.832603,19.533731,19.370592,101837070.0,206555520.0,272010370.0,316112770.0,20.595996492682463,19.82816945868588,19.529297464667327,19.36615716773129,22.0151342089758,20.75436603385068,20.244510286627776,19.99672185736752,20.93859803038693,20.43109666663266,20.320568197546965,20.25620948630429,1562.9544322850036,4991.758733707884,7983.546981177979,10030.238435627967,4212.702474813622,6722.972477546729,7443.4233582124225,7897.9831977370195,0.8738914416641512,0.5080946682811038,1.0,4.0,0.2586013,0.69578415,94.1816,1.8977023580273383e-08,2.02967574269352e-08,0.4831982837809838,0.934978208102348,0.063616196448377,0.2031771993264077,0.3249505440583783,0.4082560601668368,0.160318506965144,0.2558492835446994,0.283266745428275,0.3005654640618815,7276,0.28190751245857215
4588,1500081317,0.2938812203238812,79592950.0,129549256.0,143301730.0,152123330.0,25956074.0,53333996.0,71612150.0,84004530.0,3.507774540596724e-09,5.709420245858785e-09,6.315510873108551e-09,6.704291618518696e-09,1.143921065590609e-09,2.350505066057697e-09,3.156049329532071e-09,3.702198985800191e-09,20.561146,19.964348,19.78912,19.686914,105549020.0,182883250.0,214913890.0,236127860.0,20.551234632341743,19.954437166063663,19.779209047167186,19.677003770677924,22.074273973314643,21.29236116966474,20.97240462860334,20.79911485275495,20.85768476089704,20.32878294548261,20.21924391350019,20.15438213905561,1480.0977917473742,3041.273880793775,4083.552548064301,4790.204549599828,4538.643754896405,7387.318466402369,8171.512221802885,8674.553789910331,0.5092168184056711,0.32221507789092,1.0,4.0,0.21840772,0.606995,87.677826,1.0352674446980569e-08,2.223699727808276e-08,0.3176673436393889,0.465560810024376,0.1104952268200324,0.2270432731903605,0.3048535492355495,0.3576079507540575,0.1577450056054417,0.2567534831599541,0.2840089046078158,0.3014926066267883,7280,0.15135244980394522
